C�digo;CNPJ/CPF/CIE
13393;32.049.925/0001-13
13397;05.117.660/0001-70
13399;28.088.434/0001-04
13400;23.887.468/0001-45
13401;32.344.043/0001-80
13404;17.691.083/0001-05
13406;29.006.147/0001-70
13409;12.599.771/0001-26
13412;03.994.656/0001-65
13413;33.009.007/0001-23
13414;17.786.028/0002-80
13416;14.854.810/0001-10
13418;31.808.003/0001-80
13421;03.887.324/0010-72
13422;20.003.530/0001-09
16590;19.706.803/0001-94
13423;10.818.282/0001-92
13424;00.475.885/0001-85
13429;11.284.625/0001-49
13425;32.340.210/0001-15
13426;18.729.442/0001-39
13427;29.028.919/0001-75
13431;29.720.496/0001-50
13428;04.344.704/0001-32
13432;03.610.554/0001-07
13433;08.151.457/0002-90
13434;10.207.656/0003-03
13435;12.648.298/0001-20
13436;17.695.037/0001-84
13437;20.958.821/0001-42
13438;24.709.062/0001-35
13439;28.648.508/0001-10
13440;29.602.577/0001-55
13441;30.022.092/0001-71
13442;30.103.872/0001-46
13465;05.813.153/0001-71
13443;94.316.999/0009-83
13444;05.244.014/0001-74
13447;27.687.337/0001-75
13445;19.867.268/0001-53
13446;27.118.236/0001-83
13448;18.647.905/0001-13
13449;12.546.470/0001-34
13450;02.793.452/0001-01
13451;30.529.117/0001-28
13452;23.218.694/0001-33
13453;01.339.695/0001-01
13454;25.892.878/0001-00
354462;26.178.616/0001-40
13464;12.331.321/0001-58
13498;17.595.372/0010-00
13499;32.116.154/0001-30
13502;09.133.428/0001-87
13503;10.588.595/0010-92
13505;33.247.743/0044-50
13504;12.420.164/0009-04
13508;18.313.833/0001-78
6992595;17.185.679/0007-29
13603;23.477.116/0001-11
13604;20.652.900/0001-20
13605;24.335.909/0001-69
13614;00.076.050/0001-52
13620;15.839.804/0001-56
13625;57.334.237/0010-17
13626;25.109.479/0001-20
13637;01.955.846/0001-48
6951800;07.335.769/0001-00
13639;07.105.136/0001-05
354463;08.925.365/0001-39
13661;04.384.000/0001-93
13668;23.076.042/0001-01
13712;04.222.739/0001-07
13713;23.027.409/0001-05
13754;11.129.728/0001-34
13755;04.467.255/0001-10
13757;89.723.977/0001-40
13773;09.581.401/0001-57
6985929;19.434.885/0001-65
13779;31.608.763/0017-00
6984327;02.967.761/0009-08
13781;18.219.550/0001-61
56943;17.185.315/0001-53
13791;12.018.462/0001-15
13795;03.859.387/0001-24
13796;09.079.572/0001-82
13797;13.280.931/0001-32
13798;06.315.198/0001-89
13799;38.507.653/0003-04
13800;29.503.473/0001-93
13801;21.823.191/0001-61
13802;04.164.506/0001-97
13803;03.144.754/0001-03
13804;32.991.376/0001-00
13805;06.069.123/0001-65
13806;13.079.845/0001-66
13807;04.773.949/0001-85
13808;21.484.581/0001-54
13809;13.118.774/0001-63
13843;61.074.175/0116-87
6951634;44.645.381/0001-31
13812;17.312.976/0001-00
13814;02.006.659/0001-80
13815;04.491.862/0002-04
13819;15.516.939/0001-80
13841;26.055.339/0001-89
13842;10.656.452/0071-92
6996313;42.176.367/0001-00
13893;31.698.040/0001-82
13894;13.399.692/0001-34
13921;61.064.838/0143-55
13922;24.697.973/0001-90
13923;12.456.234/0001-27
13900;10.680.755/0001-38
13901;12.349.409/0001-05
13902;08.377.069/0001-40
13903;05.762.204/0005-07
13937;26.141.576/0001-62
13938;20.504.118/0001-64
13918;62.632.583/0001-20
13939;58.581.588/0001-02
13987;16.857.856/0001-18
13963;02.740.940/0001-42
13964;43.828.151/0002-26
13990;31.454.296/0001-44
13989;24.138.908/0001-24
13991;02.265.792/0001-51
13966;12.056.742/0001-18
13967;04.437.237/0002-76
13968;09.150.058/0001-96
13969;08.627.836/0001-22
13970;06.222.722/0008-43
13971;19.988.731/0004-68
13972;30.274.213/0001-72
13973;05.451.496/0001-33
13992;30.680.156/0001-21
13974;43.948.405/0001-69
13975;12.514.319/0001-14
13976;20.453.074/0001-90
13977;09.149.833/0001-93
13985;01.769.607/0001-01
13986;13.070.266/0001-52
14147;11.480.248/0001-13
14148;07.358.761/0234-52
13995;42.955.435/0001-30
13993;21.952.681/0001-68
13994;32.986.152/0001-00
6929348;38.401.236/0001-02
2286642;42.416.512/0001-83
14143;24.330.234/0001-65
14144;30.233.156/0001-83
14145;05.644.040/0001-90
14146;07.524.670/0001-56
14149;12.904.094/0001-02
14150;31.452.113/0031-77
14151;97.454.110/0001-65
14152;07.358.761/0239-67
14153;02.558.157/0500-03
14154;05.549.856/0001-34
14155;22.906.038/0001-60
14156;05.570.714/0008-25
14157;21.925.811/0001-73
14158;08.228.010/0005-14
14159;10.991.272/0001-54
14160;04.238.970/0001-80
14161;01.220.005/0001-92
14163;02.308.702/0005-96
14164;03.109.947/0001-23
14165;01.640.831/0001-90
14166;13.498.629/0001-55
14167;10.399.310/0001-84
14168;83.038.547/0001-03
14169;20.958.779/0001-60
14170;26.383.030/0002-07
14171;18.110.916/0001-60
14180;23.577.462/0002-52
14187;23.056.952/0001-22
14234;30.727.554/0001-56
14235;01.891.402/0001-96
14253;32.332.426/0001-39
14254;33.571.469/0001-30
14255;03.964.211/0001-32
14256;07.617.885/0001-11
6932108;12.093.972/0001-57
14257;26.101.279/0001-93
14259;15.362.665/0001-12
14260;20.468.625/0001-90
14261;25.926.791/0001-06
14262;04.879.453/0001-90
14263;19.800.425/0001-03
14264;12.233.321/0001-15
171767;71.052.559/0005-37
6982811;28.358.120/0001-84
14318;07.253.696/0001-07
14321;01.369.683/0001-11
14329;23.452.238/0012-06
14332;11.795.015/0001-00
14333;15.436.588/0001-06
14334;00.288.916/0010-80
14359;33.715.071/0001-20
14363;13.753.079/0001-73
14361;26.069.796/0001-22
14362;26.390.229/0006-88
14364;19.030.128/0001-26
14365;23.736.969/0001-20
14366;11.699.141/0001-60
14367;26.342.714/0001-71
14368;33.004.476/0001-50
14369;04.130.635/0001-64
14370;16.889.092/0001-42
6962793;12.843.752/0001-01
14376;14.980.173/0001-28
14377;24.162.271/0001-01
14378;05.540.409/0001-14
14379;04.332.882/0001-43
14381;33.054.115/0001-18
14387;01.673.694/0001-90
14388;24.726.236/0001-78
14390;60.856.531/0001-02
14391;43.665.629/0001-63
14396;29.300.031/0001-40
14401;31.565.104/0145-50
14406;33.592.510/0035-01
14407;02.897.966/0001-07
14408;64.438.047/0001-14
14417;02.261.854/0001-57
14418;22.138.834/0001-09
14419;38.733.648/0001-40
14435;18.575.213/0001-07
14439;10.608.037/0002-31
14525;30.941.979/0001-63
14480;10.784.737/0001-04
14481;04.853.293/0001-00
14492;17.245.986/0001-62
14527;26.474.056/0014-96
14529;23.341.740/0001-97
14530;03.054.924/0001-69
14497;33.583.592/0001-70
14531;71.183.222/0001-35
14499;31.620.106/0001-11
14500;01.510.209/0001-68
14501;26.484.361/0001-44
14502;66.594.904/0001-09
14503;25.290.339/0003-62
14504;16.556.961/0001-17
3159234;22.975.384/0001-09
14505;03.529.463/0001-33
14506;01.674.841/0001-47
14507;33.150.074/0001-63
14508;22.768.570/0001-69
7013078;42.205.189/0001-07
14509;06.136.906/0001-14
14510;02.072.779/0001-86
14511;13.464.658/0001-04
14512;12.632.349/0001-25
14513;31.084.356/0001-84
14514;04.311.533/0001-45
14516;01.554.285/0001-75
14518;04.249.615/0001-07
14519;01.374.964/0001-62
14532;06.053.150/0002-20
14533;10.911.422/0001-72
14534;23.396.850/0001-56
14562;21.620.349/0001-04
14520;30.576.682/0001-46
14521;25.567.140/0001-77
14522;25.567.140/0009-24
14523;42.814.517/0001-64
14540;06.986.135/0001-54
14541;08.561.701/0001-01
14542;10.667.158/0001-73
14560;04.622.211/0001-17
14561;21.628.516/0007-40
14564;06.056.748/0001-92
14565;21.561.444/0001-76
14566;28.146.720/0001-89
14567;03.470.727/0016-07
14568;01.152.671/0004-83
14569;14.421.687/0001-43
14633;02.842.891/0001-59
14634;17.902.722/0001-34
14636;11.519.736/0001-97
14637;21.978.037/0001-69
14638;29.590.630/0001-45
14666;05.846.703/0013-92
14669;09.551.786/0001-00
14670;28.053.942/0001-57
14671;20.031.796/0001-57
14672;28.930.226/0001-00
14692;08.902.291/0001-15
14674;31.436.143/0001-74
14676;31.216.547/0001-52
14677;21.983.705/0001-46
14678;22.007.414/0001-85
14680;33.046.963/0001-85
14681;22.963.804/0001-29
14682;30.513.698/0001-00
14694;11.072.822/0001-02
14695;30.836.278/0001-64
14697;21.704.840/0001-05
14698;33.584.293/0003-12
14711;01.356.570/0003-43
14716;26.269.622/0001-03
14713;07.527.942/0001-71
14721;04.088.208/0001-65
14722;14.625.224/0001-01
14723;05.584.434/0001-08
14724;38.681.425/0001-86
14725;81.639.023/0018-90
14726;27.849.318/0001-06
14727;19.729.078/0001-70
14728;33.708.275/0001-33
14729;24.489.112/0001-16
14730;27.470.795/0001-58
14732;02.305.356/0003-20
14733;08.818.331/0001-45
14734;00.085.883/0001-80
6960537;02.804.951/0001-49
7018871;45.025.666/0001-32
14848;42.958.603/0001-40
14849;50.109.271/0001-58
14850;19.136.655/0001-10
14884;18.975.718/0001-69
14885;01.761.315/0001-14
14886;04.002.008/0001-48
14888;60.680.873/0001-14
14889;13.593.176/0001-46
14890;02.790.028/0005-29
14891;15.827.815/0001-16
14893;11.370.545/0001-06
14895;21.562.368/0006-28
6975900;47.550.206/0001-59
14896;46.020.301/0001-88
14897;26.151.258/0001-82
14905;11.833.079/0001-58
14906;01.417.694/0001-20
14929;23.088.256/0001-06
14932;08.804.180/0001-76
14973;20.109.731/0001-87
14980;30.389.315/0001-33
14982;07.305.286/0001-62
14984;07.780.184/0001-07
14985;17.418.567/0001-85
14986;21.825.176/0001-52
14987;22.077.840/0001-95
14988;30.218.550/0001-42
14989;61.092.037/0055-74
14990;90.049.792/0001-81
14993;28.154.862/0001-98
15003;26.779.565/0001-02
15004;08.953.316/0001-00
15005;28.704.037/0001-10
15006;60.113.685/0001-04
15008;07.389.466/0001-70
15010;10.552.549/0001-42
15012;00.410.954/0001-72
252847;25.031.668/0001-27
15030;02.946.761/0006-70
15031;18.534.233/0001-30
15045;32.126.275/0001-62
15046;05.598.174/0001-11
15047;80.464.753/0001-97
15048;14.137.015/0001-00
15051;31.198.065/0001-17
6982616;19.116.100/0001-06
15081;16.737.388/0001-48
15082;32.468.447/0001-86
15083;08.151.457/0001-09
15084;19.437.838/0001-75
15085;29.502.160/0001-10
15086;30.804.677/0001-43
15087;46.637.526/0001-88
15088;23.221.388/0001-56
15089;32.634.510/0001-07
15252;03.817.469/0003-78
6968615;29.617.712/0001-36
15112;74.612.839/0001-17
15144;19.888.356/0001-31
15242;33.090.924/0001-85
15243;17.019.027/0003-90
15244;10.656.452/0081-64
15245;71.135.792/0001-50
15246;13.048.432/0002-03
15247;31.635.661/0001-17
15253;10.472.324/0001-86
15254;23.339.109/0001-53
15262;27.163.056/0001-13
15263;17.516.113/0001-47
15278;18.854.182/0001-23
15277;03.300.974/0010-70
15280;05.737.197/0001-60
15281;11.964.339/0001-24
15282;12.144.464/0001-50
15283;02.590.454/0005-19
15284;11.360.813/0001-09
15285;33.718.517/0001-70
15288;62.541.735/0005-03
15289;05.946.805/0042-14
15290;15.486.289/0001-78
15291;04.672.602/0001-46
15292;29.434.036/0001-65
15293;03.713.558/0001-02
15294;30.857.446/0001-06
6964095;43.700.649/0001-28
15295;15.657.112/0001-97
15296;04.601.030/0001-04
15301;07.040.941/0001-06
15302;14.968.175/0001-00
15303;01.018.304/0001-49
15307;12.420.164/0003-19
15308;07.663.140/0002-70
15311;07.995.621/0001-00
15363;33.910.616/0001-59
15366;27.408.869/0001-26
15367;33.968.740/0001-75
15369;08.876.150/0001-75
15371;19.954.485/0001-80
15372;30.796.788/0001-55
15373;02.310.701/0001-52
15374;18.644.150/0001-01
15378;20.470.704/0001-35
15379;19.501.642/0001-00
15381;06.309.992/0001-10
15382;26.810.612/0001-33
307300;03.769.753/0003-16
300291;36.379.783/0001-03
171768;67.647.412/0004-31
15508;19.537.577/0001-65
15510;01.703.219/0002-09
15511;22.385.447/0001-69
15512;30.056.362/0001-65
15514;20.868.582/0001-30
15515;56.545.742/0001-57
7016723;42.480.873/0001-99
15516;66.378.472/0001-90
15528;01.115.722/0001-54
15536;28.564.177/0001-30
15537;09.618.465/0001-85
15544;24.003.014/0001-27
15561;43.588.755/0001-61
15641;07.748.837/0001-62
15678;33.314.649/0001-36
15727;02.656.196/0002-83
15728;24.874.746/0001-92
15729;23.575.513/0001-26
15742;04.188.944/0001-95
15773;01.095.667/0001-88
15778;12.059.468/0001-30
15786;03.732.783/0001-96
15794;24.241.271/0001-05
15808;27.551.203/0001-22
6915869;30.062.464/0001-93
15813;71.088.322/0001-82
15814;05.089.637/0001-10
6379474;39.919.831/0002-88
15822;14.797.724/0012-75
15824;05.260.394/0001-30
15867;02.769.005/0001-09
15889;10.215.988/0002-40
15891;20.611.180/0002-36
16084;19.905.116/0001-06
15963;33.592.510/0008-20
6992594;12.040.615/0001-20
15986;07.533.543/0001-13
16050;10.656.452/0085-98
16068;02.782.071/0003-80
16069;07.811.324/0001-59
16070;07.752.307/0001-98
16071;21.072.762/0001-73
16086;22.436.237/0001-52
16087;26.122.025/0001-51
16088;25.290.339/0001-09
16089;17.162.280/0018-85
16090;17.953.363/0001-44
16091;32.810.515/0001-43
16092;05.083.383/0001-22
16093;12.142.172/0001-89
16094;05.615.523/0001-66
16095;09.452.900/0001-44
16096;33.558.012/0001-95
17993;14.360.314/0001-00
17994;30.572.376/0001-31
16097;34.151.100/0064-14
16098;61.037.537/0001-10
16099;03.123.580/0001-00
16100;32.270.694/0001-73
16101;08.314.527/0001-00
16102;39.419.809/0001-98
16136;29.509.390/0001-01
16137;72.354.319/0003-98
16138;42.933.804/0001-93
16139;34.164.870/0001-18
16158;08.695.028/0001-00
16140;06.309.137/0001-09
16159;20.741.823/0001-85
6985172;25.012.398/0001-07
229581;02.199.983/0001-62
16156;15.119.500/0001-14
16157;16.504.870/0001-38
16160;26.136.731/0001-52
16161;07.560.123/0001-26
16162;20.542.892/0001-60
16166;04.192.768/0001-65
16167;00.814.559/0001-55
16176;51.990.695/0001-37
7020791;42.543.069/0001-01
16217;07.635.054/0001-72
16220;07.000.571/0001-75
16221;08.739.029/0001-00
16222;30.077.992/0001-16
16223;04.801.504/0001-61
16224;29.828.972/0001-50
16226;25.699.216/0001-18
16227;23.062.486/0001-98
16228;05.770.983/0001-69
16229;33.841.727/0001-50
16230;17.422.056/0001-37
16231;07.198.873/0001-08
16232;07.615.660/0001-26
16234;02.921.139/0001-01
16237;54.904.388/0003-46
16238;12.619.537/0001-13
16239;25.259.656/0001-54
16240;09.445.058/0001-13
16241;30.002.631/0001-00
16242;22.811.054/0001-70
16256;71.502.116/0003-39
16257;17.087.231/0001-87
16258;01.367.632/0007-46
16332;02.630.269/0001-87
6984328;27.864.907/0001-55
16359;08.411.714/0001-02
16383;24.712.380/0001-55
16394;16.831.034/0001-68
16396;65.202.483/0001-52
16397;07.062.380/0001-38
16398;04.640.260/0001-82
16399;06.298.222/0001-19
16401;43.876.960/0003-94
16403;20.383.137/0001-80
16430;47.078.704/0001-40
16440;33.523.229/0001-60
16555;34.224.833/0001-58
16562;17.562.075/0001-69
7016272;03.713.175/0001-34
7013547;14.753.250/0001-07
7013081;39.298.029/0001-37
16586;19.791.227/0001-20
16613;07.616.058/0001-03
16614;00.548.018/0001-22
16615;33.812.433/0001-09
16616;16.907.746/0001-13
16623;05.239.618/0001-22
16643;34.058.684/0001-02
6943454;45.661.095/0001-22
16647;11.848.961/0001-77
16648;12.835.932/0001-33
16651;26.438.205/0001-47
16652;08.852.939/0001-96
6940460;65.993.453/0025-89
16664;33.417.445/0007-16
16667;34.148.486/0023-37
16670;14.026.659/0001-21
16671;31.649.570/0001-30
16672;19.791.896/0002-83
16680;19.004.863/0001-65
16682;08.255.366/0001-13
16687;12.476.438/0001-20
16691;10.439.381/0001-63
16702;12.475.435/0001-71
16705;01.567.256/0001-48
16706;16.873.029/0001-18
16710;21.150.875/0001-40
16711;73.314.098/0001-25
16718;72.307.481/0001-93
16719;46.522.959/0001-98
16720;49.430.564/0001-53
16721;86.550.159/0001-03
16725;18.776.529/0001-67
16726;45.369.188/0001-88
16727;01.784.929/0001-11
16728;18.931.307/0001-71
16729;03.353.341/0004-81
16730;03.308.232/0005-23
6921378;15.548.543/0001-15
16731;26.121.368/0001-00
16733;08.679.666/0001-20
6979541;07.399.636/0030-31
16734;19.738.706/0001-83
16735;18.674.182/0001-41
16736;27.331.222/0001-43
16737;09.167.020/0003-98
16738;07.215.506/0001-67
16739;02.414.568/0001-84
16740;02.912.081/0001-21
6975921;01.696.924/0001-37
6379469;31.344.445/0001-12
6912739;41.534.692/0001-35
16765;18.730.556/0002-80
16766;26.238.443/0001-09
16767;41.747.346/0001-35
16768;71.045.892/0003-57
16769;10.921.911/0005-39
16770;20.017.274/0001-09
16773;28.976.080/0001-34
16775;02.230.611/0001-51
16777;20.493.832/0001-02
16781;09.200.041/0001-04
16782;08.220.781/0001-31
16787;76.642.743/0001-27
16788;15.588.112/0001-82
16789;20.275.382/0001-73
16836;00.281.901/0001-07
16837;06.303.774/0001-78
16984;08.758.412/0001-05
16838;33.016.221/0001-07
16852;00.697.455/0001-08
16936;32.585.452/0001-79
2625087;05.456.420/0001-09
16956;33.040.122/0013-02
16957;10.254.133/0001-48
16958;20.445.071/0001-05
16959;09.146.463/0001-30
377802;10.552.544/0001-10
16996;12.682.451/0001-35
17034;32.920.546/0001-57
17035;06.079.857/0001-25
17002;20.967.880/0001-87
17003;00.183.191/0001-74
17007;09.127.271/0001-87
17013;57.830.788/0001-80
17028;19.828.938/0015-28
6940490;14.210.300/0001-00
17029;25.567.140/0004-10
17030;16.794.464/0031-72
17031;70.942.941/0001-20
17032;02.733.998/0001-69
17033;11.629.916/0001-21
17036;12.476.767/0001-70
17037;11.806.515/0001-08
17038;05.387.604/0001-56
17039;02.572.656/0001-04
17040;17.228.685/0006-35
17042;05.271.899/0001-09
17047;34.139.961/0001-01
17048;03.777.675/0001-30
17049;14.934.026/0001-11
17050;97.541.344/0001-40
17051;17.192.250/0001-73
17052;05.388.725/0003-84
17053;17.788.186/0001-98
17054;39.044.144/0001-85
17055;02.481.362/0001-77
17058;92.660.406/0027-58
17059;30.485.230/0001-59
17060;04.921.825/0001-08
17061;01.644.264/0001-40
17084;81.243.735/0001-48
17085;10.709.188/0001-03
17086;43.062.389/0001-02
17088;04.545.690/0001-15
17105;14.551.496/0001-04
17146;23.076.002/0001-60
17150;17.399.306/0001-65
17151;32.317.092/0001-24
17152;28.793.964/0001-53
17153;69.026.458/0001-16
17154;09.586.453/0001-16
17155;19.972.249/0011-69
17158;13.729.366/0001-48
17162;05.515.245/0005-07
17163;28.823.196/0001-33
17164;28.518.953/0001-65
17165;17.773.165/0001-07
17166;02.143.367/0001-90
17167;27.612.272/0001-07
17168;04.013.867/0001-32
17169;84.046.101/0580-00
17181;28.274.119/0001-71
17183;28.481.219/0001-79
17184;22.377.153/0001-95
17185;33.673.441/0001-03
17207;09.199.776/0001-57
17188;26.481.392/0001-41
17201;23.849.387/0001-50
17202;33.872.768/0001-04
17238;61.601.183/0009-42
17242;00.185.232/0001-61
17256;22.714.554/0001-93
17260;28.493.621/0001-73
17266;32.137.644/0004-65
17272;20.869.220/0001-63
17273;33.392.371/0001-15
17274;33.004.342/0004-81
17304;32.469.625/0001-93
17305;18.866.369/0001-47
17306;33.265.251/0001-57
17307;33.229.977/0001-34
17308;14.123.209/0001-57
17309;33.253.437/0001-96
17310;20.439.518/0001-33
17311;31.559.862/0001-82
17312;34.001.931/0001-26
17313;07.712.973/0001-00
17314;01.648.667/0001-68
17315;19.972.109/0001-19
17316;33.592.510/0433-92
163264;03.705.402/0001-80
17386;29.774.110/0001-92
17387;34.108.994/0001-86
17388;34.479.859/0001-47
17389;10.753.257/0001-78
17390;10.753.257/0002-59
17391;10.753.257/0003-30
17392;34.799.942/0001-01
17393;02.055.167/0001-85
17394;35.262.170/0001-29
17395;26.288.767/0001-51
17398;01.010.134/0001-56
17400;00.669.229/0001-13
17401;29.829.620/0001-10
17407;16.559.153/0001-03
17436;07.450.247/0001-59
17437;51.946.200/0001-72
17446;09.365.007/0002-62
17448;18.267.880/0001-22
17463;00.689.952/0001-64
6919416;31.841.033/0001-98
237473;10.289.061/0001-74
17524;01.280.862/0004-20
17525;38.567.954/0001-53
17526;38.567.954/0013-97
17527;41.722.414/0001-01
17528;01.115.345/0001-53
17529;05.999.532/0001-06
17530;01.856.867/0001-06
17531;04.445.427/0001-54
17532;01.754.239/0019-49
17533;26.649.557/0001-41
17534;26.694.964/0001-70
17535;10.288.906/0004-50
17545;08.915.934/0001-65
17546;20.732.045/0001-68
17547;12.419.635/0001-07
17640;10.379.076/0001-23
17548;28.673.081/0001-00
17558;08.888.227/0001-27
17557;11.606.543/0001-73
17559;33.609.177/0001-49
17560;21.983.794/0001-20
17561;01.362.538/0002-90
17562;15.508.522/0001-76
17569;03.643.856/0001-73
150844;04.423.462/0001-72
6940461;01.542.240/0008-57
17605;01.929.665/0001-47
17606;19.400.787/0001-07
17607;61.186.888/0020-56
17617;14.286.739/0001-16
17641;01.394.745/0003-07
17642;01.219.321/0001-44
17625;27.327.450/0001-40
17626;01.127.245/0001-47
17627;01.586.729/0001-54
17632;60.746.948/0587-06
17643;06.871.526/0001-23
17644;15.514.970/0001-82
17645;17.289.826/0001-15
17646;28.408.237/0001-25
17647;21.557.741/0001-48
17648;97.410.138/0001-09
17661;06.018.885/0002-13
17662;31.949.351/0001-77
17663;96.634.290/0001-02
17664;08.758.098/0001-52
17665;01.572.101/0003-61
17666;20.672.250/0001-85
17667;30.115.928/0001-82
17668;33.064.172/0001-88
17669;04.371.908/0001-62
17670;34.126.009/0001-65
17671;09.063.905/0001-85
17672;17.864.441/0001-34
17673;09.719.752/0007-77
17674;13.536.773/0001-39
17675;74.326.315/0001-60
252848;37.816.393/0001-16
17686;05.407.073/0002-05
17724;82.895.327/0001-33
378159;48.740.351/0153-59
17726;04.740.876/0001-25
17806;28.481.219/0002-50
17807;11.471.635/0001-93
17839;14.752.437/0001-96
17840;00.220.945/0001-19
17847;20.395.376/0002-30
17848;19.451.052/0001-02
17873;60.627.221/0001-16
17931;00.164.925/0001-78
17934;12.101.060/0001-80
17936;30.278.428/0001-61
17969;81.887.838/0006-55
17971;17.493.032/0001-79
17991;33.188.102/0001-31
17995;17.774.501/0001-28
18004;04.846.613/0001-03
18007;39.792.734/0001-96
18027;20.928.092/0001-81
18035;24.979.573/0001-77
18036;04.639.828/0001-45
18038;47.232.897/0001-42
18065;33.692.182/0001-68
18080;01.896.544/0001-46
18081;09.076.351/0001-50
18104;09.532.669/0001-07
18105;13.610.442/0001-00
18106;19.972.249/0021-30
18107;14.296.761/0001-47
18108;15.721.119/0001-20
18109;33.448.294/0001-78
18110;14.843.190/0001-13
18111;07.703.847/0001-81
18112;22.768.799/0001-01
18113;08.139.421/0001-00
18114;03.943.137/0001-78
18116;26.747.837/0001-92
18118;18.286.492/0001-99
18119;19.183.714/0001-00
18120;06.089.200/0001-49
18121;31.985.931/0001-10
18122;22.312.078/0001-84
18143;33.976.281/0001-71
18144;07.080.151/0001-46
18145;28.705.924/0001-02
18146;01.661.035/0001-34
18183;24.492.886/0001-04
18223;16.992.805/0001-07
18198;15.152.676/0001-78
18199;16.839.000/0001-10
354464;14.174.803/0001-77
18257;05.567.889/0001-07
18263;09.182.725/0001-12
18264;92.341.312/0009-34
18265;71.339.493/0001-37
18266;66.378.134/0001-59
18267;13.351.016/0001-90
18268;32.433.602/0001-29
18269;05.888.603/0001-95
18270;08.174.605/0001-00
18271;05.326.792/0001-02
18272;46.325.254/0001-80
18273;64.364.946/0001-10
18274;51.774.354/0001-24
18275;25.989.328/0001-03
18276;10.702.443/0001-88
18277;11.235.788/0001-31
18278;01.754.239/0018-68
18284;08.510.528/0002-01
18285;13.441.002/0002-49
18286;58.223.090/0001-60
18287;14.438.607/0001-62
18288;16.714.685/0001-78
18289;05.896.476/0001-76
18291;01.615.979/0001-75
18292;12.998.709/0001-07
18293;00.491.153/0001-89
18294;02.781.084/0001-73
18295;01.048.047/0001-98
18296;19.773.092/0003-32
18299;27.898.321/0001-01
2625088;21.109.697/0013-47
18302;28.916.078/0001-70
18303;25.225.868/0001-10
18304;23.942.678/0001-99
18306;23.374.053/0001-78
18307;32.768.172/0001-04
18308;33.526.241/0001-28
18309;34.950.091/0001-48
18320;89.519.706/0001-78
18328;17.689.965/0001-36
18355;05.824.890/0001-70
18357;25.615.410/0001-78
369957;20.442.768/0001-22
18368;04.478.336/0001-15
18374;07.781.879/0001-03
18375;20.172.920/0001-02
18376;20.114.856/0001-03
18396;18.851.817/0001-39
18397;19.136.406/0001-24
18400;17.309.790/0001-94
18401;28.481.219/0004-11
18402;28.481.219/0007-64
18406;16.946.302/0001-97
50729;50.288.745/0002-57
18407;12.314.267/0001-32
18408;13.661.448/0001-06
18409;33.592.510/0159-33
18410;01.784.943/0001-15
18411;05.386.202/0001-37
18423;11.871.903/0001-64
18426;80.795.727/0001-41
18428;44.754.653/0001-31
18436;00.474.973/0013-04
18441;29.737.368/0014-33
18442;06.036.371/0001-00
18445;23.842.762/0001-30
18448;00.640.409/0001-72
18451;27.558.408/0003-00
18452;20.971.001/0001-90
18453;12.905.369/0001-22
18454;11.243.246/0001-00
18455;04.641.376/0048-08
18456;94.792.629/0001-65
18457;75.154.385/0022-75
18458;04.656.185/0009-03
18459;03.195.522/0001-84
18460;04.401.122/0001-40
18461;20.386.348/0003-38
18462;12.990.343/0001-20
2625006;05.362.352/0001-00
18505;22.603.450/0001-01
18544;09.532.523/0001-53
18565;92.693.118/0006-75
18566;51.990.695/0004-80
18567;33.010.851/0001-74
18584;01.404.158/0018-38
18585;29.630.250/0010-88
18586;07.324.851/0001-39
18588;22.924.173/0001-39
18589;24.459.412/0001-52
18590;09.027.775/0001-25
6984329;30.080.461/0001-82
18609;27.913.613/0001-76
6982822;09.102.293/0001-92
18622;68.282.672/0007-66
18623;06.894.441/0002-41
18624;14.573.924/0001-91
18625;26.655.172/0001-97
18631;01.098.983/0092-40
18642;00.695.039/0001-70
6971304;27.804.204/0001-31
7015892;04.233.618/0001-52
6961068;39.931.260/0001-16
6940462;09.102.044/0013-30
18744;17.320.527/0002-87
18745;14.313.934/0001-98
18756;13.881.630/0001-64
18771;31.923.963/0001-90
6994418;25.607.540/0001-69
18777;21.103.718/0001-83
18778;12.467.416/0001-01
18779;35.476.997/0001-35
18780;18.829.973/0001-01
18781;14.977.625/0001-12
18782;22.003.475/0001-74
18783;08.271.218/0001-92
18830;00.136.729/0001-90
18834;27.141.446/0001-92
18839;44.410.199/0001-00
18840;33.370.823/0001-68
18842;10.288.920/0001-00
18843;07.987.905/0001-46
18844;12.087.851/0001-00
18845;28.504.726/0001-80
18846;25.259.617/0001-57
18847;33.967.748/0001-17
18848;28.771.043/0001-90
18851;24.132.437/0001-47
18852;08.753.091/0001-48
18853;71.066.427/0006-45
18854;07.493.635/0001-17
18855;07.128.161/0001-04
6968616;32.469.964/0001-70
18860;34.616.005/0001-65
3159235;26.408.530/0001-67
18868;60.746.948/0396-71
18877;61.077.327/0001-56
18883;18.299.446/0001-24
18886;65.105.041/0001-98
6961069;15.496.069/0001-25
18912;51.475.606/0001-14
18929;33.054.115/0006-22
18939;03.219.708/0001-26
18940;13.459.313/0001-54
18945;11.728.671/0001-90
18946;21.498.124/0001-19
18947;32.289.315/0001-97
18963;05.018.048/0001-40
18964;08.859.558/0001-39
18965;08.829.865/0002-58
18966;34.700.383/0001-22
18967;14.282.116/0001-75
18968;03.922.845/0001-22
18979;26.674.769/0001-89
18985;08.073.962/0001-82
